Grand Prix,Circuit,Pays,Latitude,Longitude
Australian Grand Prix,Albert Park Circuit,Australie,-37.8497,144.968
Malaysian Grand Prix,Sepang International Circuit,Malaisie,2.7606,101.7381
Chinese Grand Prix,Shanghai International Circuit,Chine,31.3389,121.22
Bahrain Grand Prix,Bahrain International Circuit,Bahreïn,26.0325,50.5106
Spanish Grand Prix,Circuit de Barcelona-Catalunya,Espagne,41.57,2.2611
Monaco Grand Prix,Circuit de Monaco,Monaco,43.7347,7.4206
Turkish Grand Prix,Istanbul Park,Turquie,40.9517,29.405
British Grand Prix,Silverstone Circuit,Royaume-Uni,52.0786,-1.0169
German Grand Prix,Hockenheimring/Nürburgring,Allemagne,49.3278,8.5658
Hungarian Grand Prix,Hungaroring,Hongrie,47.5789,19.2486
European Grand Prix,Circuit de Valencia/Baku,Espagne/Azerbaïdjan,39.4699,-0.3375
Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgique,50.4372,5.9714
Italian Grand Prix,Monza,Italie,45.6156,9.2811
Singapore Grand Prix,Marina Bay Street Circuit,Singapour,1.2914,103.8631
Japanese Grand Prix,Suzuka International Racing,Japon,34.8431,136.5411
Brazilian Grand Prix,Interlagos,Brésil,-23.7036,-46.6997
Abu Dhabi Grand Prix,Yas Marina Circuit,Émirats Arabes Unis,24.4672,54.6031
Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
French Grand Prix,Circuit Paul Ricard,France,43.2506,5.7917
United States Grand Prix,Circuit of the Americas,USA,30.1328,-97.6411
San Marino Grand Prix,Imola,Italie,44.3421,11.715
Austrian Grand Prix,Red Bull Ring,Autriche,47.2197,14.7647
Argentine Grand Prix,Autódromo Oscar Gálvez,Argentine,-34.6942,-58.4596
Luxembourg Grand Prix,Nürburgring,Allemagne,50.3356,6.9475
Portuguese Grand Prix,Portimão Circuit,Portugal,37.227,-8.6268
Pacific Grand Prix,TI Circuit Aida,Japon,34.8542,134.7044
South African Grand Prix,Kyalami Circuit,Afrique du Sud,-25.987,28.072
Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexique,19.4042,-99.0907
Korean Grand Prix,Korea International Circuit,Corée du Sud,34.7333,126.4167
Detroit Grand Prix,Detroit Street Circuit,USA,42.3314,-83.0458
Dutch Grand Prix,Circuit Zandvoort,Pays-Bas,52.3888,4.5409
Dallas Grand Prix,Fair Park Street Circuit,USA,32.7767,-96.797
United States Grand Prix West,Long Beach Street Circuit,USA,33.7669,-118.1892
Swiss Grand Prix,Circuit de Bremgarten,Suisse,46.9481,7.4474
Caesars Palace Grand Prix,Caesars Palace Parking Lot,USA,36.1147,-115.1728
Swedish Grand Prix,Scandinavian Raceway,Suède,56.6733,12.8789
Indianapolis 500,Indianapolis Motor Speedway,USA,39.795,-86.235
Moroccan Grand Prix,Ain-Diab Circuit,Maroc,33.58,-7.64
Pescara Grand Prix,Circuito di Pescara,Italie,42.4671,14.2181
Indian Grand Prix,Buddh International Circuit,Inde,28.3496,77.5331
Russian Grand Prix,Sochi Autodrom,Russie,43.4057,39.9578
Azerbaijan Grand Prix,Baku City Circuit,Azerbaïdjan,40.3723,49.8532
Styrian Grand Prix,Red Bull Ring,Autriche,47.2197,14.7647
70th Anniversary Grand Prix,Silverstone,Royaume-Uni,52.0786,-1.0169
Tuscan Grand Prix,Mugello Circuit,Italie,43.9975,11.3719
Eifel Grand Prix,Nürburgring,Allemagne,50.3356,6.9475
Emilia Romagna Grand Prix,Imola,Italie,44.3421,11.715
Sakhir Grand Prix,Bahrain International Circuit,Bahreïn,26.0325,50.5106
Qatar Grand Prix,Losail International Circuit,Qatar,25.49,51.45
Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexique,19.4042,-99.0907
São Paulo Grand Prix,Interlagos,Brésil,-23.7036,-46.6997
Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Arabie Saoudite,21.6319,39.1044
Miami Grand Prix,Miami International Autodrome,USA,25.958,-80.2389
Las Vegas Grand Prix,Las Vegas Strip Circuit,USA,36.1699,-115.1398
