Grand Prix,Circuit,Latitude,Longitude
Australian Grand Prix,Albert Park Circuit,-37.8497,144.968
Malaysian Grand Prix,Sepang International Circuit,2.7608,101.7381
Chinese Grand Prix,Shanghai International Circuit,31.3389,121.2197
Bahrain Grand Prix,Bahrain International Circuit,26.0325,50.5106
Spanish Grand Prix,Circuit de Barcelona-Catalunya,41.5706,2.2611
Monaco Grand Prix,Circuit de Monaco,43.7347,7.4206
Turkish Grand Prix,Istanbul Park,40.9517,29.405
British Grand Prix,Silverstone Circuit,52.0786,-1.0169
German Grand Prix,Hockenheimring,49.3278,8.5658
Hungarian Grand Prix,Hungaroring,47.5789,19.2486
European Grand Prix,Valencia Street Circuit,39.4583,-0.3319
Belgian Grand Prix,Circuit de Spa-Francorchamps,50.4372,5.9714
Italian Grand Prix,Autodromo Nazionale Monza,45.6156,9.2811
Singapore Grand Prix,Marina Bay Street Circuit,1.2914,103.864
Japanese Grand Prix,Suzuka Circuit,34.8431,136.541
Brazilian Grand Prix,Autódromo José Carlos Pace,-23.701,-46.6997
Abu Dhabi Grand Prix,Yas Marina Circuit,24.4672,54.6031
Canadian Grand Prix,Circuit Gilles Villeneuve,45.5049,-73.5261
French Grand Prix,Circuit Paul Ricard,43.2506,5.7917
United States Grand Prix,Circuit of the Americas,30.1328,-97.6411
