constructorId,nombre_saisons,constructorRef,name,nationality,url
1,9,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
3,9,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
4,2,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
6,15,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
9,7,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
22,1,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula
23,1,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP
25,1,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing
32,4,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
66,3,brm,BRM,British,http://en.wikipedia.org/wiki/BRM
131,8,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
170,2,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
172,1,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
180,1,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
191,2,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
196,1,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra
